County,Precinct_ID,Precinct_name,Black_Male_reg,Black_Male_voted,Black_Female_reg,Black_Female_voted,Black_unknown_reg,Black_unknown_voted,White_Male_reg,White_Male_voted,White_Female_reg,White_Female_voted,White_unknown_reg,White_unknown_voted,Asian_Male_reg,Asian_Male_voted,Asian_Female_reg,Asian_Female_voted,Asian_unknown_reg,Asian_unknown_voted,Hisp_Male_reg,Hisp_Male_voted,Hisp_Female_reg,Hisp_Female_voted,Hisp_unknown_reg,Hisp_unknown_voted,NAm_Male_reg,NAm_Male_voted,NAm_Female_reg,NAm_Female_voted,NAm_unknown_reg,NAm_unknown_voted,Other_Male_reg,Other_Male_voted,Other_Female_reg,Other_Female_voted,Other_unknown_reg,Other_unknown_voted,Unknown_Male_reg,Unknown_Male_voted,Unknown_Female_reg,Unknown_Female_voted,Unknown_unknown_reg,Unknown_unknown_voted,Total_reg,Total_voted
DOUGHERTY,5,westover high ,640,337,1034,686,4,1,723,460,868,568,0,0,18,4,26,12,0,0,11,3,14,8,0,0,0,0,1,0,0,0,5,2,10,4,0,0,105,32,85,36,3,2,3547,2155
DOUGHERTY,6,merry acres middle,385,163,538,318,7,0,654,405,796,491,2,0,7,1,9,3,0,0,8,2,6,1,0,0,1,0,2,0,0,0,13,3,6,5,0,0,89,19,73,28,2,0,2598,1439
DOUGHERTY,7,darton college,1284,553,1947,1114,13,1,414,228,438,253,1,0,4,0,6,3,0,0,7,3,7,3,0,0,0,0,1,1,0,0,8,3,16,5,0,0,165,38,160,63,7,1,4478,2269
DOUGHERTY,8,westtown elem ,1175,601,1617,997,12,2,63,29,95,43,3,1,0,0,4,2,0,0,5,1,2,1,0,0,1,0,1,0,0,0,9,3,8,2,0,0,127,21,106,29,7,1,3235,1733
DOUGHERTY,9,2nd mt zion church,237,133,310,196,4,0,361,231,411,265,4,0,3,2,1,1,0,0,3,0,4,1,0,0,0,0,0,0,0,0,4,1,2,2,0,0,60,15,51,19,0,0,1455,866
DOUGHERTY,10,mt zion center,1359,508,2068,1051,53,2,21,9,37,9,0,0,3,2,0,0,0,0,1,0,1,0,0,0,3,2,0,0,0,0,5,0,9,2,3,1,171,16,131,34,8,0,3873,1636
DOUGHERTY,11,alice coachman elem,277,159,416,311,5,0,5,1,3,1,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,3,1,2,0,0,0,27,4,18,3,0,0,760,481
DOUGHERTY,12,carver teen center,709,205,937,401,29,4,11,5,21,11,1,0,1,0,1,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,4,1,7,2,2,0,78,8,47,15,8,0,1860,652
DOUGHERTY,13,shiloh baptist churc,589,182,821,372,34,3,31,11,38,11,0,0,3,1,1,1,0,0,8,1,2,1,0,0,2,0,3,0,0,0,3,1,8,2,0,0,75,11,50,14,6,0,1674,611
DOUGHERTY,14,litman cathedral,555,188,770,367,21,3,27,11,44,13,0,0,0,0,0,0,0,0,3,1,4,1,0,0,0,0,0,0,0,0,6,1,7,2,1,0,54,6,54,7,3,0,1549,600
DOUGHERTY,15,phoebe healthworks,572,137,764,272,28,4,153,59,169,63,0,0,5,0,3,0,0,0,5,1,12,4,0,0,2,0,0,0,0,0,6,1,8,3,0,0,86,9,77,14,10,1,1900,568
DOUGHERTY,16,turner elem school,640,95,696,185,14,2,54,6,39,5,1,0,2,0,1,0,0,0,9,0,10,1,1,0,0,0,0,0,0,0,11,0,14,3,0,0,112,2,88,9,7,1,1699,309
DOUGHERTY,17,jackson heights elem,991,348,1457,687,25,5,5,3,16,11,0,0,2,1,3,2,0,0,3,2,2,0,0,0,0,0,1,1,0,0,5,0,7,1,0,0,105,16,84,14,6,0,2712,1091
DOUGHERTY,18,bill miller center,848,303,1222,616,29,5,72,29,101,41,1,0,1,0,1,0,0,0,6,2,4,1,0,0,2,1,2,1,0,0,9,1,9,2,0,0,74,12,111,22,9,1,2501,1037
DOUGHERTY,19,radium middle school,208,111,226,138,0,0,111,56,124,64,1,0,0,0,1,0,0,0,5,0,5,0,0,0,0,0,4,1,0,0,3,1,1,0,0,0,31,6,20,3,1,0,741,380
DOUGHERTY,20,putney 1st bapt chur,551,300,662,449,4,1,643,375,660,384,1,0,2,1,0,0,0,0,7,3,15,5,0,0,2,0,1,0,0,0,1,0,2,0,0,0,134,25,100,28,5,1,2790,1572
DOUGHERTY,21,international studie,264,155,354,228,4,2,136,62,162,71,0,0,0,0,3,1,0,0,12,3,18,4,0,0,1,0,0,0,0,0,1,0,4,2,0,0,57,11,39,14,1,0,1056,553
DOUGHERTY,22,phoebe east,1107,340,1502,654,16,0,150,57,227,84,1,0,7,3,6,0,0,0,15,2,16,4,1,0,4,0,1,0,0,0,7,2,11,1,0,0,142,17,139,27,12,1,3364,1192
DOUGHERTY,23,pine bluff bapt chur,524,262,707,433,6,3,335,172,360,182,1,1,7,3,3,0,0,0,10,4,14,4,0,0,1,0,1,0,0,0,5,2,10,4,0,0,100,19,71,20,6,0,2161,1109
DOUGHERTY,24,albany middle school,663,235,1012,499,19,2,55,21,65,24,0,0,3,2,1,1,0,0,3,1,7,3,0,0,0,0,2,0,0,0,4,1,13,5,1,0,84,21,77,19,7,2,2016,836
DOUGHERTY,25,christ church,231,161,254,198,0,0,617,435,686,494,0,0,12,6,6,4,0,0,7,2,10,6,0,0,0,0,0,0,0,0,5,4,5,3,0,0,58,30,50,19,1,1,1942,1363
DOUGHERTY,26,lamar reese elem sch,431,225,538,370,2,1,16,13,26,15,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,37,6,24,10,4,0,1084,643
DOUGHERTY,27,1st christian church,238,125,284,177,5,2,477,280,564,330,1,0,12,3,8,0,1,0,10,4,9,2,0,0,1,0,0,0,0,0,3,1,8,4,0,0,62,12,52,18,0,0,1735,958
DOUGHERTY,28,lovett hall,433,104,977,372,10,2,18,3,16,6,0,0,1,0,2,0,0,0,3,0,4,2,0,0,1,1,1,0,0,0,3,0,9,3,0,0,27,7,54,17,8,0,1567,517
DOUGHERTY,88888,88888,22,1,16,1,1,0,5,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,52,2
DOUGHERTY,99999,99999,45,0,22,3,23,0,14,0,9,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,7,0,4,0,8,0,140,3
DOUGHERTY,gf4,nan,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
LIBERTY,1,riceboro youth ,352,211,461,334,1,1,86,60,79,51,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,36,15,38,18,0,0,1059,692
LIBERTY,10,lyman hall school,938,428,1418,678,4,2,424,169,602,181,2,2,24,8,42,15,0,0,145,31,182,58,0,0,3,2,9,3,0,0,30,9,64,21,0,0,306,46,331,70,0,0,4524,1723
LIBERTY,11,lewis frasier school,813,423,1022,568,2,0,630,330,758,366,1,0,47,20,66,25,0,0,136,45,156,53,0,0,0,0,5,2,0,0,36,13,57,16,1,0,264,72,247,72,0,0,4241,2005
LIBERTY,12,memorial dr. east,538,200,924,380,1,0,204,88,241,79,0,0,18,2,19,2,0,0,68,15,91,24,0,0,2,0,1,0,0,0,13,2,29,7,0,0,143,15,154,29,2,0,2448,843
LIBERTY,13,button gwinnett,325,34,422,63,0,0,455,27,547,36,0,0,29,0,32,0,0,0,130,7,147,14,1,0,3,0,5,1,0,0,18,2,38,3,0,0,425,20,270,19,0,0,2847,226
LIBERTY,14,town of allenhurst,601,311,857,460,0,0,276,132,314,142,0,0,9,3,16,6,1,1,65,15,75,20,0,0,1,1,5,2,0,0,18,6,23,6,0,0,170,39,142,50,0,0,2573,1194
LIBERTY,2,hinesville,281,114,442,204,0,0,370,192,497,248,0,0,32,9,33,12,0,0,39,17,70,20,0,0,0,0,2,0,0,0,21,4,24,11,0,0,135,28,159,27,1,1,2106,887
LIBERTY,3,liberty county ,802,441,1004,642,1,0,908,507,939,544,0,0,8,2,24,10,0,0,35,18,36,14,0,0,2,1,4,2,0,0,13,7,28,11,0,0,199,73,212,91,2,0,4217,2363
LIBERTY,4,walthourville,616,279,905,467,3,1,314,116,385,127,0,0,15,5,39,10,0,0,109,29,147,38,0,0,3,2,3,0,0,0,30,7,39,15,0,0,205,39,219,50,4,2,3036,1187
LIBERTY,5,fleming west,128,73,177,124,0,0,60,30,66,38,0,0,0,0,2,2,0,0,1,1,5,2,0,0,0,0,0,0,0,0,4,2,1,1,0,0,21,10,22,9,0,0,487,292
LIBERTY,6,fleming east,167,86,207,117,0,0,1046,615,1126,640,0,0,6,3,13,5,0,0,19,4,30,14,0,0,2,1,4,2,0,0,17,7,12,7,0,0,165,55,147,54,0,0,2961,1610
LIBERTY,7,gum branch,407,175,491,225,0,0,593,289,699,337,0,0,28,5,33,8,0,0,80,16,111,29,0,0,1,0,4,1,0,0,15,3,28,5,0,0,234,38,214,45,0,0,2938,1176
LIBERTY,88888,88888,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0
LIBERTY,9,hinesville lodge 271,596,276,824,429,2,0,314,124,421,162,0,0,19,5,34,12,0,0,77,28,107,30,0,0,3,1,3,0,0,0,30,17,33,10,0,0,174,36,194,51,1,0,2832,1181
LIBERTY,99999,99999,1,0,3,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,12,0
ECHOLS,1058,statenville,42,15,55,34,0,0,777,476,877,531,1,1,3,1,1,0,0,0,62,11,73,21,0,0,3,2,2,0,0,0,7,5,11,5,0,0,66,19,44,16,1,1,2025,1138
ECHOLS,88888,88888,1,0,0,0,0,0,18,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,39,2
